Time,Lat,Long,accel_x,accel_y,accel_z
1720074121304,11.1028173,76.9883826,-0.096000001,0.048,0.959999979
1720074121306,11.1028173,76.9883896,-0.096000001,0.048,0.959999979
1720074122311,11.1028093,76.9883896,0.096000001,0.048,1.15199995
1720074122314,11.1028093,76.9883816,0.096000001,0.048,1.15199995
1720074123318,11.1028183,76.9883816,0.143999994,0,0.912
1720074123322,11.1028183,76.9883906,0.143999994,0,0.912
1720074124327,11.1028123,76.9883906,0.096000001,-0.048,0.815999985
1720074124330,11.1028123,76.9883846,0.096000001,-0.048,0.815999985
1720074125334,11.1028133,76.9883846,0.096000001,0.048,0.864000022
1720074125337,11.1028133,76.9883856,0.096000001,0.048,0.864000022
1720074126341,11.1028113,76.9883856,0.096000001,-0.048,0.959999979
1720074126344,11.1028113,76.9883836,0.096000001,-0.048,0.959999979
1720074128355,11.1028143,76.9883836,0.287999988,0.048,0.864000022
1720074128359,11.1028143,76.9883866,0.287999988,0.048,0.864000022
1720074129363,11.1028123,76.9883866,0.287999988,-0.096000001,0.959999979
1720074129365,11.1028123,76.9883846,0.287999988,-0.096000001,0.959999979
1720074130370,11.1028143,76.9883846,0.239999995,0,0.912
1720074130373,11.1028143,76.9883866,0.239999995,0,0.912
1720074131378,11.1028163,76.9883866,0.287999988,0,0.912
1720074131381,11.1028163,76.9883886,0.287999988,0,0.912
1720074132385,11.1028183,76.9883886,0.287999988,0,1.008000016
1720074132388,11.1028183,76.9883906,0.287999988,0,1.008000016
1720074133391,11.1028133,76.9883906,0.143999994,0,0.959999979
1720074133394,11.1028133,76.9883856,0.143999994,0,0.959999979
1720074134400,11.1028123,76.9883856,0.192000002,0,0.912
1720074134403,11.1028123,76.9883846,0.192000002,0,0.912
1720074135407,11.1028153,76.9883846,0.287999988,0.048,0.959999979
1720074135410,11.1028153,76.9883876,0.287999988,0.048,0.959999979
1720074136417,11.1028163,76.9883876,0.192000002,0.048,0.959999979
1720074136420,11.1028163,76.9883886,0.192000002,0.048,0.959999979
1720074137423,11.1028103,76.9883886,0.192000002,0.096000001,0.959999979
1720074137426,11.1028103,76.9883826,0.192000002,0.096000001,0.959999979
1720074138433,11.1028183,76.9883826,0.287999988,0.048,0.959999979
1720074138436,11.1028183,76.9883906,0.287999988,0.048,0.959999979
1720074140446,11.1028113,76.9883906,0.096000001,0.048,0.815999985
1720074140448,11.1028113,76.9883836,0.096000001,0.048,0.815999985
1720074141452,11.1028123,76.9883836,0.048,-0.048,0.671999991
1720074141455,11.1028123,76.9883846,0.048,-0.048,0.671999991
1720074142460,11.1028163,76.9883846,0,-0.048,1.055999994
1720074142463,11.1028163,76.9883886,0,-0.048,1.055999994
1720074143467,11.1028143,76.9883886,0.096000001,-0.096000001,0.912
1720074143470,11.1028143,76.9883866,0.096000001,-0.096000001,0.912
1720074144476,11.1028113,76.9883866,0.192000002,-0.048,1.008000016
1720074144478,11.1028113,76.9883836,0.192000002,-0.048,1.008000016
1720074145482,11.1028183,76.9883836,0.096000001,0,0.959999979
1720074145485,11.1028183,76.9883906,0.096000001,0,0.959999979
1720074146490,11.1028143,76.9883906,0.096000001,0.239999995,1.296000004
1720074146493,11.1028143,76.9883866,0.096000001,0.239999995,1.296000004
1720074147498,11.1028123,76.9883866,0.096000001,-0.048,0.912
1720074147501,11.1028123,76.9883846,0.096000001,-0.048,0.912
1720074148505,11.1028103,76.9883846,0,-0.287999988,0.864000022
1720074148509,11.1028103,76.9883826,0,-0.287999988,0.864000022
1720074149512,11.1028093,76.9883826,0.096000001,-0.048,0.959999979
1720074149516,11.1028093,76.9883816,0.096000001,-0.048,0.959999979
1720074150519,11.1028123,76.9883816,0.143999994,-0.048,1.008000016
1720074150523,11.1028123,76.9883846,0.143999994,-0.048,1.008000016
1720074151527,11.1028183,76.9883846,0.096000001,0.048,1.008000016
1720074151531,11.1028183,76.9883906,0.096000001,0.048,1.008000016
1720074152535,11.1028163,76.9883906,0.096000001,-0.096000001,0.959999979
1720074152539,11.1028163,76.9883886,0.096000001,-0.096000001,0.959999979
1720074153543,11.1028183,76.9883886,0.096000001,0,0.959999979
1720074153546,11.1028183,76.9883906,0.096000001,0,0.959999979
1720074154551,11.1028103,76.9883906,0.192000002,0,1.008000016
1720074154554,11.1028103,76.9883826,0.192000002,0,1.008000016
1720074155559,11.1028123,76.9883826,0.143999994,-0.048,0.959999979
1720074155562,11.1028123,76.9883846,0.143999994,-0.048,0.959999979
1720074156567,11.1028183,76.9883846,0.096000001,0,0.912
1720074156570,11.1028183,76.9883906,0.096000001,0,0.912
1720074158580,11.1028123,76.9883906,0.048,0,0.959999979
1720074158582,11.1028123,76.9883846,0.048,0,0.959999979
1720074159586,11.1028093,76.9883846,0.096000001,-0.048,1.008000016
1720074159589,11.1028093,76.9883816,0.096000001,-0.048,1.008000016
1720074160593,11.1028103,76.9883816,0.192000002,0,0.959999979
1720074160596,11.1028103,76.9883826,0.192000002,0,0.959999979
1720074161600,11.1028173,76.9883826,0.096000001,0.048,0.768000007
1720074161603,11.1028173,76.9883896,0.096000001,0.048,0.768000007
1720074162607,11.1028113,76.9883896,0.192000002,0,0.912
1720074162612,11.1028113,76.9883836,0.192000002,0,0.912
1720074163616,11.1028143,76.9883836,0.096000001,0,0.864000022
1720074163619,11.1028143,76.9883866,0.096000001,0,0.864000022
1720074164621,11.1028153,76.9883866,0.239999995,-0.048,0.912
1720074164625,11.1028153,76.9883876,0.239999995,-0.048,0.912
1720074165629,11.1028173,76.9883876,0.096000001,0,0.959999979
1720074165631,11.1028173,76.9883896,0.096000001,0,0.959999979
1720074166636,11.1028143,76.9883896,0.192000002,0,0.912
1720074166639,11.1028143,76.9883866,0.192000002,0,0.912
1720074167643,11.1028093,76.9883866,0.096000001,0.048,0.959999979
1720074167646,11.1028093,76.9883816,0.096000001,0.048,0.959999979
1720074168651,11.1028163,76.9883816,0.096000001,-0.048,0.912
1720074168653,11.1028163,76.9883886,0.096000001,-0.048,0.912
1720074169661,11.1028123,76.9883886,0.096000001,-0.048,0.959999979
1720074169664,11.1028123,76.9883846,0.096000001,-0.048,0.959999979
1720074170667,11.1028163,76.9883846,-0.048,-0.048,0.959999979
1720074170670,11.1028163,76.9883886,-0.048,-0.048,0.959999979
1720074171675,11.077835,76.9883886,0,0,0.959999979
1720074171678,11.077835,77.0294095,0,0,0.959999979
1720074172683,11.0777846,77.0294095,0.096000001,-0.048,1.008000016
1720074172686,11.0777846,77.0294326,0.096000001,-0.048,1.008000016
1720074173689,11.0948445,77.0294326,0.096000001,0,0.959999979
1720074173693,11.0948445,77.0004198,0.096000001,0,0.959999979
1720074174696,11.0948153,77.0004198,0.096000001,0,0.959999979
1720074174699,11.0948153,77.0003865,0.096000001,0,0.959999979
1720074175705,11.0948163,77.0003865,0.143999994,-0.096000001,0.959999979
1720074175707,11.0948163,77.0003596,0.143999994,-0.096000001,0.959999979
1720074176709,11.0947888,77.0003596,0.096000001,-0.048,0.959999979
1720074176712,11.0947888,77.0004133,0.096000001,-0.048,0.959999979
1720074177717,11.0776735,77.0004133,0.096000001,-0.048,0.815999985
1720074177720,11.0776735,77.0296251,0.096000001,-0.048,0.815999985
1720074178725,11.0777145,77.0296251,0.143999994,0.048,0.912
1720074178729,11.0777145,77.0294525,0.143999994,0.048,0.912
1720074179734,11.0946771,77.0294525,0.143999994,0.048,0.959999979
1720074179737,11.0946771,77.0004325,0.143999994,0.048,0.959999979
1720074180741,11.0964911,77.0004325,0.048,-0.048,1.008000016
1720074180744,11.0964911,77.0000166,0.048,-0.048,1.008000016
1720074181748,11.089836,77.0000166,0.096000001,0,0.959999979
1720074181751,11.089836,77.00074,0.096000001,0,0.959999979
1720074182756,11.0899011,77.00074,-0.096000001,-0.048,1.008000016
1720074182760,11.0899011,77.0005275,-0.096000001,-0.048,1.008000016
1720074183763,11.0899001,77.0005275,0.096000001,0.048,0.959999979
1720074183766,11.0899001,77.0005265,0.096000001,0.048,0.959999979
1720074184772,11.0898961,77.0005265,0.048,0.096000001,1.103999972
1720074184775,11.0898961,77.0005225,0.048,0.096000001,1.103999972
1720074185780,11.0898981,77.0005225,0.096000001,0.096000001,0.959999979
1720074185783,11.0898981,77.0005245,0.096000001,0.096000001,0.959999979
1720074186788,11.0898921,77.0005245,0.096000001,-0.096000001,0.959999979
1720074186791,11.0898921,77.0005185,0.096000001,-0.096000001,0.959999979
1720074187795,11.0898951,77.0005185,0.192000002,-0.048,0.912
1720074187798,11.0898951,77.0005215,0.192000002,-0.048,0.912
1720074189810,11.0898961,77.0005215,0.096000001,0,0.959999979
1720074189813,11.0898961,77.0005225,0.096000001,0,0.959999979
1720074191825,11.0898991,77.0005225,0.143999994,0.048,1.008000016
1720074191829,11.0898991,77.0005255,0.143999994,0.048,1.008000016
1720074192834,11.0899001,77.0005255,0.096000001,-0.048,0.959999979
1720074192837,11.0899001,77.0005265,0.096000001,-0.048,0.959999979
1720074193843,11.0898931,77.0005265,0.048,0.048,0.959999979
1720074193846,11.0898931,77.0005195,0.048,0.048,0.959999979
1720074194850,11.0898971,77.0005195,0.096000001,0.048,0.959999979
1720074194854,11.0898971,77.0005235,0.096000001,0.048,0.959999979
1720074195858,11.0898931,77.0005235,0.096000001,0.048,0.959999979
1720074195861,11.0898931,77.0005195,0.096000001,0.048,0.959999979
1720074196866,11.0899011,77.0005195,0.143999994,0.048,0.912
1720074196868,11.0899011,77.0005275,0.143999994,0.048,0.912
1720074197872,11.0898931,77.0005275,0.096000001,0.048,0.959999979
1720074197875,11.0898931,77.0005195,0.096000001,0.048,0.959999979
1720074198879,11.0899011,77.0005195,0,0.096000001,0.912
1720074198882,11.0899011,77.0005275,0,0.096000001,0.912
1720074199887,11.0898941,77.0005275,0.096000001,0.048,0.912
1720074199890,11.0898941,77.0005205,0.096000001,0.048,0.912
1720074200895,11.0898981,77.0005205,0.096000001,0.143999994,0.959999979
1720074200898,11.0898981,77.0005245,0.096000001,0.143999994,0.959999979
1720074201903,11.0898921,77.0005245,0.096000001,0.096000001,0.959999979
1720074201906,11.0898921,77.0005185,0.096000001,0.096000001,0.959999979
1720074202914,11.0898981,77.0005185,0,-0.048,0.864000022
1720074202917,11.0898981,77.0005245,0,-0.048,0.864000022
1720074203923,11.0898971,77.0005245,0.048,0.143999994,0.864000022
1720074203928,11.0898971,77.0005235,0.048,0.143999994,0.912
1720074205012,11.0898941,77.0005235,0.048,0.143999994,0.912
1720074205014,11.0898941,77.0005205,0.048,0.143999994,0.912
1720074205954,11.0898991,77.0005205,0.048,0.143999994,0.959999979
1720074205971,11.0898991,77.0005255,0.143999994,0.143999994,0.959999979
1720074206977,11.0898961,77.0005255,0.143999994,0,0.912
1720074206986,11.0898961,77.0005225,0.192000002,0,0.912
1720074207992,11.0898931,77.0005225,0.192000002,0,1.008000016
1720074207995,11.0898931,77.0005195,0.192000002,0,1.008000016
1720074209001,11.0898941,77.0005195,0.096000001,-0.048,0.912
1720074209004,11.0898941,77.0005205,0.096000001,-0.048,0.912
1720074210009,11.0899001,77.0005205,0.048,-0.096000001,0.959999979
1720074210012,11.0899001,77.0005265,0.048,-0.096000001,0.959999979
1720074211018,11.0898961,77.0005265,0.096000001,-0.048,0.959999979
1720074211020,11.0898961,77.0005225,0.096000001,-0.048,0.959999979
1720074213033,11.0898921,77.0005225,0.096000001,0,0.959999979
1720074213036,11.0898921,77.0005185,0.096000001,0,0.959999979
1720074215048,11.0898961,77.0005185,0.096000001,0.048,0.959999979
1720074215051,11.0898961,77.0005225,0.096000001,0.048,0.959999979
1720074216056,11.0898991,77.0005225,0.048,0.143999994,0.912
1720074216059,11.0898991,77.0005255,0.048,0.143999994,0.912
1720074217063,11.0898971,77.0005255,0.143999994,0.096000001,0.912
1720074217066,11.0898971,77.0005235,0.143999994,0.096000001,0.912
1720074218069,11.0898921,77.0005235,0.239999995,0.048,0.912
1720074218073,11.0898921,77.0005185,0.239999995,0.048,0.912
1720074219078,11.0898951,77.0005185,0.287999988,0,0.864000022
1720074219081,11.0898951,77.0005215,0.287999988,0,0.864000022
1720074220086,11.0774775,77.0005215,0.096000001,0.048,1.008000016
1720074220090,11.0774775,77.0289486,0.096000001,0.048,1.008000016
1720074221095,11.0936471,77.0289486,0.096000001,0.048,0.864000022
1720074221099,11.0936471,77.0006891,0.096000001,0.048,0.864000022
1720074222102,11.0936376,77.0006891,0.096000001,-0.048,0.959999979
1720074222106,11.0936376,77.0006896,0.096000001,-0.048,0.959999979
1720074223110,11.0774613,77.0006896,-0.048,-0.048,0.959999979
1720074223114,11.0774613,77.0288903,-0.048,-0.048,0.959999979
1720074224119,11.0805915,77.0288903,0.096000001,-0.048,0.959999979
1720074224123,11.0805915,77.0266033,0.096000001,-0.048,0.959999979
1720074225126,11.087301,77.0266033,0.096000001,-0.048,0.959999979
1720074225129,11.087301,77.015031,0.096000001,-0.048,0.959999979
1720074226134,11.0872391,77.015031,0.096000001,0,0.959999979
1720074226137,11.0872391,77.0151005,0.096000001,0,0.959999979
1720074227141,11.0872305,77.0151005,0.096000001,-0.048,0.959999979
1720074227145,11.0872305,77.015012,0.096000001,-0.048,0.959999979
1720074228150,11.0906768,77.015012,0.192000002,0,0.959999979
1720074228154,11.0906768,77.0014213,0.192000002,0,0.959999979
1720074229159,11.0907851,77.0014213,0.239999995,0,0.959999979
1720074229162,11.0907851,77.0013058,0.239999995,0,0.959999979
1720074230167,11.0808021,77.0013058,0.096000001,0,0.959999979
1720074230169,11.0808021,77.026171,0.096000001,0,0.959999979
1720074231173,11.0887031,77.026171,0.048,0,0.912
1720074231176,11.0887031,77.0177468,0.048,0,0.912
1720074232181,11.0886788,77.0177468,0.096000001,0,0.959999979
1720074232184,11.0886788,77.0177026,0.096000001,0,0.959999979
1720074233191,11.0886901,77.0177026,0.096000001,-0.096000001,0.959999979
1720074233194,11.0886901,77.0177023,0.096000001,-0.096000001,0.959999979
1720074234197,11.0866248,77.0177023,0.192000002,-0.143999994,0.959999979
1720074234200,11.0866248,77.0152793,0.192000002,-0.143999994,0.959999979
1720074235204,11.0865971,77.0152793,0.096000001,0,1.008000016
1720074235207,11.0865971,77.0152243,0.096000001,0,1.008000016
1720074236212,11.07595,77.0152243,0.096000001,0.048,0.959999979
1720074236215,11.07595,77.0044458,0.096000001,0.048,0.959999979
1720074237220,11.1200473,77.0044458,0.143999994,0.048,0.959999979
1720074237223,11.1200473,76.8893326,0.143999994,0.048,0.959999979
1720074238229,11.123668,76.8893326,0.096000001,-0.048,0.959999979
1720074238233,11.123668,76.9127933,0.096000001,-0.048,0.959999979
1720074239237,11.123632,76.9127933,0.048,0,1.008000016
1720074239241,11.123632,76.9128433,0.048,0,1.008000016
1720074240244,11.0988473,76.9128433,0.096000001,-0.048,0.959999979
1720074240247,11.0988473,76.9889971,0.096000001,-0.048,0.959999979
1720074241251,11.0988546,76.9889971,0.143999994,-0.096000001,1.008000016
1720074241254,11.0988546,76.9889661,0.143999994,-0.096000001,1.008000016
1720074242258,11.0988695,76.9889661,0.048,-0.048,0.912
1720074242261,11.0988695,76.9889558,0.048,-0.048,0.912
1720074243264,11.0988348,76.9889558,0.096000001,0.096000001,0.959999979
1720074243266,11.0988348,76.9888776,0.096000001,0.096000001,0.959999979
1720074244271,11.090907,76.9888776,0.143999994,0,1.008000016
1720074244274,11.090907,77.0001601,0.143999994,0,1.008000016
1720074245279,11.096153,77.0001601,0.096000001,0,0.864000022
1720074245282,11.096153,76.9991686,0.096000001,0,0.864000022
1720074246287,11.0961735,76.9991686,0.096000001,-0.048,1.008000016
1720074246289,11.0961735,76.9990846,0.096000001,-0.048,1.008000016
1720074247293,11.0961181,76.9990846,0.096000001,-0.048,0.959999979
1720074247296,11.0961181,76.999115,0.096000001,-0.048,0.959999979
1720074248299,11.096126,76.999115,0.143999994,-0.048,1.008000016
1720074248303,11.096126,76.9990378,0.143999994,-0.048,1.008000016
1720074249307,11.0960913,76.9990378,0.096000001,0,0.768000007
1720074249310,11.0960913,76.9990016,0.096000001,0,0.768000007
1720074250314,11.0967193,76.9990016,0.239999995,-0.048,0.912
1720074250318,11.0967193,76.998841,0.239999995,-0.048,0.912
1720074251322,11.0966603,76.998841,0.096000001,-0.048,1.008000016
1720074251325,11.0966603,76.9987941,0.096000001,-0.048,1.008000016
1720074252331,11.0966413,76.9987941,0.096000001,0.048,0.959999979
1720074252333,11.0966413,76.9987343,0.096000001,0.048,0.959999979
1720074253338,11.0960518,76.9987343,0.096000001,-0.048,1.008000016
1720074253341,11.0960518,76.9987828,0.096000001,-0.048,1.008000016
1720074254346,11.096077,76.9987828,0.143999994,0.048,0.815999985
1720074254349,11.096077,76.9987156,0.143999994,0.048,0.815999985
1720074255353,11.0960693,76.9987156,0,0.143999994,0.959999979
1720074255356,11.0960693,76.9986643,0,0.143999994,0.959999979
1720074256360,11.096085,76.9986643,-0.048,0.143999994,0.959999979
1720074256363,11.096085,76.9985991,-0.048,0.143999994,0.959999979
1720074257367,11.0968676,76.9985991,-0.048,0.096000001,0.912
1720074257370,11.0968676,76.9984388,-0.048,0.096000001,0.912
1720074258375,11.0968201,76.9984388,0.096000001,0.048,0.959999979
1720074258378,11.0968201,76.9984316,0.096000001,0.048,0.959999979
1720074259382,11.0952145,76.9984316,0.048,0.096000001,0.912
1720074259385,11.0952145,76.9992525,0.048,0.096000001,0.912
1720074260389,11.095199,76.9992525,0.048,0.096000001,0.959999979
1720074260391,11.095199,76.9992361,0.048,0.096000001,0.959999979
1720074261396,11.0974865,76.9992361,0.192000002,0.048,0.959999979
1720074261399,11.0974865,76.9999748,0.192000002,0.048,0.959999979
1720074262405,11.0974895,76.9999748,0.192000002,0.143999994,0.959999979
1720074262408,11.0974895,76.9999778,0.192000002,0.143999994,0.959999979
1720074263412,11.0974925,76.9999778,0.096000001,0.096000001,0.912
1720074263415,11.0974925,76.9999808,0.096000001,0.096000001,0.912
1720074264419,11.0974865,76.9999808,0.096000001,0.048,0.959999979
1720074264422,11.0974865,76.9999748,0.096000001,0.048,0.959999979
1720074265427,11.0974905,76.9999748,0.143999994,0,0.959999979
1720074265431,11.0974905,76.9999788,0.143999994,0,0.959999979
1720074266434,11.0974855,76.9999788,0.239999995,0,0.959999979
1720074266437,11.0974855,76.9999738,0.239999995,0,0.959999979
1720074267441,11.0974895,76.9999738,0.192000002,-0.048,0.959999979
1720074267445,11.0974895,76.9999778,0.192000002,-0.048,0.959999979
1720074268448,11.0974945,76.9999778,0.192000002,0.048,0.912
1720074268452,11.0974945,76.9999828,0.192000002,0.048,0.912
1720074269457,11.0974875,76.9999828,0.096000001,0.048,0.912
1720074269460,11.0974875,76.9999758,0.096000001,0.048,0.912
1720074270466,11.0974935,76.9999758,0.096000001,0.048,0.912
1720074270468,11.0974935,76.9999818,0.096000001,0.048,0.912
1720074271473,11.0974865,76.9999818,0.096000001,0.048,0.959999979
1720074271475,11.0974865,76.9999748,0.096000001,0.048,0.959999979
1720074272480,11.0974905,76.9999748,0.096000001,0.048,0.912
1720074272483,11.0974905,76.9999788,0.096000001,0.048,0.912
1720074273487,11.0974885,76.9999788,0.048,0,0.959999979
1720074273491,11.0974885,76.9999768,0.048,0,0.959999979
1720074274496,11.0974875,76.9999768,0.143999994,-0.048,0.912
1720074274499,11.0974875,76.9999758,0.143999994,-0.048,0.912
1720074275503,11.0974885,76.9999758,0.143999994,0,1.055999994
1720074275506,11.0974885,76.9999768,0.143999994,0,1.055999994
1720074276510,11.0974915,76.9999768,0.048,0,0.864000022
1720074276513,11.0974915,76.9999798,0.048,0,0.864000022
1720074277517,11.0974885,76.9999798,0.048,0.048,0.959999979
1720074277520,11.0974885,76.9999768,0.048,0.048,0.959999979
1720074278525,11.0974925,76.9999768,0.096000001,0,0.864000022
1720074278528,11.0974925,76.9999808,0.096000001,0,0.864000022
1720074279534,11.0924371,76.9999808,0.096000001,-0.143999994,1.15199995
1720074279537,11.0924371,76.9892923,0.096000001,-0.143999994,1.15199995
1720074280543,11.1017855,76.9892923,0.143999994,0.048,0.912
1720074280545,11.1017855,76.9830836,0.143999994,0.048,0.912
1720074281550,11.1017513,76.9830836,0.096000001,0,0.959999979
1720074281553,11.1017513,76.9830931,0.096000001,0,0.959999979
1720074282558,11.101708,76.9830931,0.096000001,0,0.959999979
1720074282561,11.101708,76.9830856,0.096000001,0,0.959999979
1720074283565,11.1016888,76.9830856,0.143999994,-0.048,0.912
1720074283569,11.1016888,76.9830748,0.143999994,-0.048,0.912
1720074284572,11.1016908,76.9830748,0.096000001,0,0.959999979
1720074284575,11.1016908,76.9830768,0.096000001,0,0.959999979
1720074285580,11.1016928,76.9830768,0.096000001,0,0.959999979
1720074285583,11.1016928,76.9830788,0.096000001,0,0.959999979
1720074286588,11.1016958,76.9830788,0.143999994,0,1.103999972
1720074286591,11.1016958,76.9830818,0.143999994,0,1.103999972
1720074287596,11.1016898,76.9830818,0.096000001,0.048,0.959999979
1720074287599,11.1016898,76.9830758,0.096000001,0.048,0.959999979
1720074288603,11.1016908,76.9830758,0.096000001,-0.048,0.959999979
